V01301 V04001 V04002 V04003 V13305 V10004_701 V11291_701 V12001_701 V13003_701 V14032
54423 2000 3 16 0.0000 967.7000 1.3000 2.7000 61.0000 10.1000 
54423 2000 3 17 0.0000 964.8000 1.3000 4.4000 49.0000 10.5000 
54423 2000 3 18 0.0000 966.9000 3.3000 4.3000 39.0000 9.2000 
54423 2000 3 19 0.0000 976.1000 0.8000 1.8000 41.0000 10.6000 
54423 2000 3 20 999990.0000 971.9000 0.5000 1.8000 62.0000 3.6000 
54423 2000 3 21 2.4000 976.3000 0.5000 4.7000 72.0000 9.1000 
54423 2000 3 22 0.0000 973.8000 1.8000 4.0000 60.0000 0.0000 
54423 2000 3 23 0.0000 972.0000 6.5000 4.5000 16.0000 8.7000 
54423 2000 3 24 0.0000 973.9000 1.5000 2.0000 38.0000 10.9000 
54423 2000 3 25 0.0000 972.9000 2.0000 4.3000 40.0000 10.5000 
54423 2000 3 26 0.0000 964.6000 0.8000 9.0000 34.0000 10.0000 
54423 2000 3 27 0.0000 956.4000 3.0000 8.8000 30.0000 5.8000 
54423 2000 3 28 0.0000 969.5000 4.8000 6.4000 28.0000 10.5000 
54423 2000 3 29 0.0000 972.3000 0.5000 4.7000 44.0000 6.2000 
54423 2000 3 30 0.0000 965.2000 0.0000 7.6000 37.0000 0.0000 
54423 2000 3 31 0.0000 968.9000 0.5000 6.9000 39.0000 10.8000 
54423 2000 4 1 4.1000 971.2000 0.8000 5.5000 54.0000 3.6000 
54423 2000 4 2 1.4000 973.9000 0.8000 7.0000 84.0000 2.1000 
54423 2000 4 3 0.0000 968.9000 2.0000 9.6000 71.0000 7.8000 
54423 2000 4 4 0.0000 969.8000 3.3000 7.7000 36.0000 11.0000 
54423 2000 4 5 0.0000 972.4000 2.0000 5.9000 28.0000 11.0000 
54423 2000 4 6 0.0000 964.8000 6.3000 5.1000 23.0000 0.0000 
54423 2000 4 7 0.0000 972.3000 4.3000 5.9000 20.0000 10.1000 
54423 2000 4 8 0.0000 970.1000 2.3000 8.3000 30.0000 7.2000 
54423 2000 4 9 3.4000 969.2000 2.0000 4.2000 53.0000 3.2000 
54423 2000 4 10 0.0000 971.4000 1.5000 5.9000 29.0000 10.5000 
54423 2000 4 11 0.0000 963.0000 1.0000 11.0000 29.0000 11.5000 
54423 2000 4 12 0.0000 958.2000 1.0000 14.3000 30.0000 9.2000 
54423 2000 4 13 0.0000 969.5000 4.0000 11.7000 18.0000 5.3000 
54423 2000 4 14 0.0000 972.0000 0.5000 9.0000 32.0000 8.0000 
54423 2000 4 15 0.0000 968.9000 1.3000 11.8000 25.0000 9.9000 
54423 2000 4 16 0.0000 964.5000 1.5000 11.8000 30.0000 9.3000 
54423 2000 4 17 0.0000 964.3000 0.5000 12.8000 37.0000 9.1000 
54423 2000 4 18 999990.0000 967.1000 1.3000 12.7000 45.0000 0.0000 
54423 2000 4 19 0.7000 965.0000 0.5000 12.8000 75.0000 3.6000 
54423 2000 4 20 5.8000 959.2000 2.3000 13.7000 64.0000 3.9000 
54423 2000 4 21 0.0000 960.9000 4.8000 11.6000 34.0000 9.3000 
54423 2000 4 22 0.0000 962.9000 4.5000 9.0000 27.0000 10.2000 
54423 2000 4 23 0.0000 963.5000 2.3000 12.6000 22.0000 12.7000 
54423 2000 4 24 999990.0000 960.6000 1.0000 12.9000 40.0000 7.6000 
54423 2000 4 25 999990.0000 959.1000 0.8000 10.9000 62.0000 0.0000 
54423 2000 4 26 0.3000 964.8000 1.5000 9.6000 60.0000 6.8000 
54423 2000 4 27 0.0000 966.0000 1.5000 12.3000 55.0000 12.2000 
54423 2000 4 28 0.0000 963.2000 1.5000 16.7000 39.0000 11.2000 
54423 2000 4 29 5.2000 963.8000 2.5000 12.4000 61.0000 3.9000 
54423 2000 4 30 0.0000 961.3000 3.5000 16.0000 51.0000 11.4000 
54423 2000 5 1 0.0000 966.6000 2.0000 15.6000 33.0000 12.4000 
54423 2000 5 2 0.0000 967.7000 1.3000 16.2000 44.0000 11.5000 
54423 2000 5 3 0.0000 964.6000 1.0000 18.7000 39.0000 11.1000 
54423 2000 5 4 0.0000 963.5000 1.8000 20.0000 41.0000 9.2000 
54423 2000 5 5 0.4000 974.4000 2.8000 16.3000 25.0000 12.6000 
54423 2000 5 6 0.0000 973.5000 1.3000 16.9000 24.0000 12.5000 
54423 2000 5 7 0.0000 968.0000 0.5000 21.2000 29.0000 12.0000 
54423 2000 5 8 0.0000 968.5000 3.0000 19.7000 26.0000 9.7000 
54423 2000 5 9 5.0000 967.9000 2.3000 13.0000 48.0000 0.0000 
54423 2000 5 10 3.0000 963.6000 0.8000 13.4000 59.0000 10.7000 
54423 2000 5 11 0.0000 961.2000 1.3000 15.2000 45.0000 11.0000 
54423 2000 5 12 999990.0000 961.3000 0.5000 16.9000 49.0000 9.2000 
54423 2000 5 13 0.4000 962.9000 0.5000 16.0000 55.0000 6.3000 
54423 2000 5 14 19.8000 964.5000 0.8000 12.2000 82.0000 0.0000 
54423 2000 5 15 0.0000 967.5000 0.5000 14.7000 75.0000 8.1000 
54423 2000 5 16 0.0000 967.5000 1.0000 17.3000 64.0000 12.5000 
54423 2000 5 17 0.1000 962.7000 2.3000 15.7000 67.0000 2.6000 
54423 2000 5 18 1.8000 959.6000 0.5000 12.5000 81.0000 4.1000 
